a, time, T11, T12, T13, T14, T15, T21, T22, T23, T24, T25, T31, T32, T33, T34, T35, T41, T42, T43, T44, T45, T51, T52, T53, T54, T55
1, 1.000000e+002  2.907599e+000 3.004081e+000 3.009481e+000 3.014791e+000 3.109458e+000 2.903468e+000 3.004082e+000 3.009982e+000 3.015777e+000 3.114403e+000 2.903429e+000 3.004146e+000 3.010064e+000 3.015874e+000 3.114564e+000 2.905669e+000 3.006744e+000 3.012677e+000 3.018439e+000 3.116604e+000 3.000100e+000 3.106186e+000 3.112060e+000 3.116896e+000 3.201959e+000 
2, 2.000000e+002  2.833115e+000 3.004063e+000 3.018475e+000 3.032565e+000 3.198587e+000 2.822316e+000 3.003766e+000 3.019926e+000 3.035708e+000 3.211611e+000 2.822191e+000 3.003996e+000 3.020236e+000 3.036079e+000 3.212171e+000 2.828266e+000 3.011348e+000 3.027654e+000 3.043289e+000 3.217561e+000 3.003086e+000 3.199687e+000 3.215736e+000 3.228189e+000 3.368558e+000 
3, 3.000000e+002  2.772875e+000 3.001294e+000 3.027008e+000 3.052010e+000 3.271489e+000 2.753979e+000 3.000263e+000 3.029815e+000 3.058506e+000 3.294454e+000 2.753729e+000 3.000785e+000 3.030548e+000 3.059394e+000 3.295675e+000 2.764746e+000 3.014651e+000 3.044581e+000 3.072893e+000 3.305220e+000 3.008113e+000 3.282364e+000 3.311629e+000 3.333080e+000 3.506726e+000 
4, 4.000000e+002  2.723990e+000 2.996760e+000 3.035105e+000 3.072187e+000 3.331394e+000 2.696332e+000 2.994533e+000 3.039630e+000 3.083160e+000 3.365279e+000 2.695934e+000 2.995488e+000 3.041018e+000 3.084853e+000 3.367421e+000 2.712630e+000 3.017274e+000 3.063138e+000 3.105901e+000 3.381577e+000 3.014539e+000 3.355764e+000 3.400285e+000 3.431191e+000 3.621943e+000 
5, 5.000000e+002  2.684184e+000 2.991181e+000 3.042788e+000 3.092433e+000 3.380857e+000 2.647613e+000 2.987327e+000 3.049355e+000 3.108883e+000 3.426039e+000 2.647063e+000 2.988863e+000 3.051654e+000 3.111695e+000 3.429337e+000 2.669897e+000 3.019671e+000 3.083032e+000 3.141226e+000 3.448322e+000 3.021879e+000 3.421181e+000 3.482217e+000 3.522433e+000 3.718552e+000 
6, 6.000000e+002  2.651659e+000 2.985073e+000 3.050078e+000 3.112290e+000 3.421899e+000 2.606362e+000 2.979232e+000 3.058976e+000 3.135068e+000 3.478351e+000 2.605674e+000 2.981500e+000 3.062456e+000 3.139327e+000 3.483013e+000 2.634896e+000 3.022161e+000 3.103997e+000 3.177997e+000 3.506885e+000 3.029767e+000 3.479700e+000 3.557901e+000 3.606917e+000 3.800007e+000 
7, 7.000000e+002  2.624992e+000 2.978800e+000 3.056997e+000 3.131453e+000 3.456124e+000 2.571367e+000 2.970698e+000 3.068481e+000 3.161254e+000 3.523561e+000 2.570571e+000 2.973850e+000 3.073418e+000 3.167287e+000 3.529763e+000 2.606278e+000 3.024966e+000 3.125792e+000 3.215521e+000 3.558472e+000 3.037933e+000 3.532230e+000 3.627787e+000 3.684884e+000 3.869065e+000 
8, 8.000000e+002  2.603054e+000 2.972615e+000 3.063564e+000 3.149730e+000 3.484812e+000 2.541624e+000 2.962067e+000 3.077859e+000 3.187095e+000 3.562785e+000 2.540764e+000 2.966254e+000 3.084527e+000 3.195221e+000 3.570673e+000 2.582937e+000 3.028227e+000 3.148204e+000 3.253255e+000 3.604099e+000 3.046174e+000 3.579542e+000 3.692298e+000 3.756657e+000 3.927932e+000 
9, 9.000000e+002  2.584946e+000 2.966687e+000 3.069798e+000 3.167008e+000 3.508983e+000 2.516300e+000 2.953593e+000 3.087102e+000 3.212339e+000 3.596953e+000 2.515429e+000 2.958964e+000 3.095770e+000 3.222858e+000 3.606642e+000 2.563968e+000 3.032028e+000 3.171042e+000 3.290774e+000 3.644622e+000 3.054347e+000 3.622286e+000 3.751834e+000 3.822607e+000 3.978384e+000 
10, 1.000000e+003  2.569952e+000 2.961126e+000 3.075718e+000 3.183236e+000 3.529453e+000 2.494702e+000 2.945463e+000 3.096203e+000 3.236807e+000 3.626838e+000 2.493880e+000 2.952161e+000 3.107128e+000 3.249999e+000 3.638418e+000 2.548626e+000 3.036409e+000 3.194136e+000 3.327753e+000 3.680762e+000 3.062348e+000 3.661017e+000 3.806770e+000 3.883127e+000 4.021849e+000 
11, 1.100000e+003  2.557497e+000 2.955994e+000 3.081342e+000 3.198399e+000 3.546881e+000 2.476254e+000 2.937807e+000 3.105157e+000 3.260376e+000 3.653084e+000 2.475546e+000 2.945971e+000 3.118580e+000 3.276494e+000 3.666623e+000 2.536297e+000 3.041379e+000 3.217339e+000 3.363947e+000 3.713127e+000 3.070105e+000 3.696207e+000 3.857458e+000 3.938612e+000 4.059488e+000 
12, 1.200000e+003  2.547123e+000 2.951323e+000 3.086688e+000 3.212515e+000 3.561795e+000 2.460477e+000 2.930714e+000 3.113958e+000 3.282970e+000 3.676230e+000 2.459948e+000 2.940475e+000 3.130105e+000 3.302239e+000 3.691775e+000 2.526475e+000 3.046920e+000 3.240523e+000 3.399176e+000 3.742228e+000 3.077570e+000 3.728262e+000 3.904227e+000 3.989455e+000 4.092242e+000 
13, 1.300000e+003  2.538457e+000 2.947124e+000 3.091771e+000 3.225620e+000 3.574622e+000 2.446969e+000 2.924237e+000 3.122605e+000 3.304545e+000 3.696725e+000 2.446686e+000 2.935722e+000 3.141681e+000 3.327163e+000 3.714307e+000 2.518744e+000 3.053003e+000 3.263579e+000 3.433311e+000 3.768500e+000 3.084715e+000 3.757533e+000 3.947385e+000 4.036029e+000 4.120880e+000 
14, 1.400000e+003  2.531202e+000 2.943389e+000 3.096608e+000 3.237762e+000 3.585712e+000 2.435395e+000 2.918406e+000 3.131095e+000 3.325087e+000 3.714946e+000 2.435425e+000 2.931731e+000 3.153286e+000 3.351222e+000 3.734582e+000 2.512755e+000 3.059583e+000 3.286412e+000 3.466264e+000 3.792306e+000 3.091524e+000 3.784320e+000 3.987220e+000 4.078693e+000 4.146034e+000 
15, 1.500000e+003  2.525114e+000 2.940103e+000 3.101213e+000 3.248995e+000 3.595346e+000 2.425474e+000 2.913230e+000 3.139427e+000 3.344599e+000 3.731210e+000 2.425880e+000 2.928504e+000 3.164899e+000 3.374391e+000 3.752905e+000 2.508222e+000 3.066612e+000 3.308943e+000 3.497981e+000 3.813958e+000 3.097991e+000 3.808888e+000 4.023997e+000 4.117780e+000 4.168223e+000 
16, 1.600000e+003  2.519997e+000 2.937242e+000 3.105602e+000 3.259379e+000 3.603756e+000 2.416971e+000 2.908702e+000 3.147600e+000 3.363099e+000 3.745784e+000 2.417812e+000 2.926025e+000 3.176497e+000 3.396663e+000 3.769532e+000 2.504905e+000 3.074036e+000 3.331105e+000 3.528434e+000 3.833718e+000 3.104117e+000 3.831464e+000 4.057963e+000 4.153601e+000 4.187876e+000 
17, 1.700000e+003  2.515690e+000 2.934778e+000 3.109787e+000 3.268973e+000 3.611132e+000 2.409687e+000 2.904805e+000 3.155615e+000 3.380617e+000 3.758892e+000 2.411020e+000 2.924269e+000 3.188060e+000 3.418041e+000 3.784681e+000 2.502605e+000 3.081802e+000 3.352844e+000 3.557613e+000 3.851810e+000 3.109910e+000 3.852249e+000 4.089346e+000 4.186444e+000 4.205352e+000 
18, 1.800000e+003  2.512062e+000 2.932682e+000 3.113781e+000 3.277836e+000 3.617631e+000 2.403453e+000 2.901517e+000 3.163473e+000 3.397189e+000 3.770725e+000 2.405330e+000 2.923202e+000 3.199568e+000 3.438540e+000 3.798533e+000 2.501154e+000 3.089855e+000 3.374116e+000 3.585527e+000 3.868426e+000 3.115379e+000 3.871419e+000 4.118358e+000 4.216574e+000 4.220948e+000 
19, 1.900000e+003  2.509004e+000 2.930924e+000 3.117596e+000 3.286027e+000 3.623382e+000 2.398128e+000 2.898806e+000 3.171173e+000 3.412857e+000 3.781445e+000 2.400597e+000 2.922784e+000 3.211004e+000 3.458178e+000 3.811246e+000 2.500414e+000 3.098144e+000 3.394885e+000 3.612195e+000 3.883731e+000 3.120538e+000 3.889129e+000 4.145191e+000 4.244232e+000 4.234916e+000 
20, 2.000000e+003  2.506428e+000 2.929475e+000 3.121243e+000 3.293599e+000 3.628493e+000 2.393590e+000 2.896639e+000 3.178718e+000 3.427664e+000 3.791189e+000 2.396693e+000 2.922973e+000 3.222350e+000 3.476980e+000 3.822953e+000 2.500265e+000 3.106619e+000 3.415125e+000 3.637644e+000 3.897864e+000 3.125400e+000 3.905517e+000 4.170026e+000 4.269640e+000 4.247465e+000 
21, 2.100000e+003  2.504258e+000 2.928306e+000 3.124734e+000 3.300603e+000 3.633053e+000 2.389737e+000 2.894981e+000 3.186108e+000 3.441656e+000 3.800075e+000 2.393512e+000 2.923723e+000 3.233591e+000 3.494974e+000 3.833766e+000 2.500611e+000 3.115233e+000 3.434817e+000 3.661909e+000 3.910948e+000 3.129980e+000 3.920703e+000 4.193025e+000 4.293000e+000 4.258775e+000 
22, 2.200000e+003  2.502435e+000 2.927390e+000 3.128077e+000 3.307088e+000 3.637138e+000 2.386480e+000 2.893795e+000 3.193346e+000 3.454880e+000 3.808203e+000 2.390961e+000 2.924989e+000 3.244711e+000 3.512190e+000 3.843783e+000 2.501366e+000 3.123944e+000 3.453944e+000 3.685029e+000 3.923089e+000 3.134294e+000 3.934797e+000 4.214339e+000 4.314495e+000 4.268996e+000 
23, 2.300000e+003  2.500907e+000 2.926701e+000 3.131281e+000 3.313098e+000 3.640811e+000 2.383743e+000 2.893046e+000 3.200433e+000 3.467380e+000 3.815661e+000 2.388959e+000 2.926725e+000 3.255697e+000 3.528660e+000 3.853088e+000 2.502460e+000 3.132712e+000 3.472500e+000 3.707046e+000 3.934378e+000 3.138356e+000 3.947896e+000 4.234106e+000 4.334292e+000 4.278260e+000 
24, 2.400000e+003  2.499630e+000 2.926216e+000 3.134356e+000 3.318673e+000 3.644125e+000 2.381461e+000 2.892697e+000 3.207370e+000 3.479200e+000 3.822522e+000 2.387438e+000 2.928888e+000 3.266538e+000 3.544414e+000 3.861755e+000 2.503834e+000 3.141502e+000 3.490480e+000 3.728005e+000 3.944895e+000 3.142183e+000 3.960084e+000 4.252453e+000 4.352541e+000 4.286677e+000 
25, 2.500000e+003  2.498570e+000 2.925913e+000 3.137309e+000 3.323853e+000 3.647126e+000 2.379578e+000 2.892714e+000 3.214161e+000 3.490384e+000 3.828852e+000 2.386335e+000 2.931435e+000 3.277224e+000 3.559486e+000 3.869845e+000 2.505436e+000 3.150280e+000 3.507882e+000 3.747950e+000 3.954710e+000 3.145787e+000 3.971442e+000 4.269495e+000 4.369381e+000 4.294343e+000 
26, 2.600000e+003  2.497695e+000 2.925772e+000 3.140148e+000 3.328671e+000 3.649853e+000 2.378044e+000 2.893064e+000 3.220806e+000 3.500972e+000 3.834707e+000 2.385599e+000 2.934324e+000 3.287743e+000 3.573906e+000 3.877415e+000 2.507224e+000 3.159019e+000 3.524711e+000 3.766927e+000 3.963886e+000 3.149183e+000 3.982036e+000 4.285339e+000 4.384935e+000 4.301341e+000 
