a, time, T11, T12, T13, T14, T15, T21, T22, T23, T24, T25, T31, T32, T33, T34, T35, T41, T42, T43, T44, T45, T51, T52, T53, T54, T55
1, 1.000000e+002  2.885000e+000  3.010000e+000  3.010000e+000  3.010000e+000  3.135000e+000  2.885000e+000  3.010000e+000  3.010000e+000  3.010000e+000  3.135000e+000  2.885000e+000  3.010000e+000  3.010000e+000  3.010000e+000  3.135000e+000  2.885000e+000  3.010000e+000  3.010000e+000  3.010000e+000  3.135000e+000  2.996111e+000  3.121111e+000  3.121111e+000  3.121111e+000  3.246111e+000  
2, 2.000000e+002  2.798576e+000  3.011632e+000  3.019444e+000  3.027257e+000  3.237813e+000  2.792188e+000  3.012187e+000  3.020000e+000  3.027812e+000  3.245313e+000  2.792188e+000  3.012187e+000  3.020000e+000  3.027812e+000  3.245313e+000  2.795274e+000  3.015274e+000  3.023086e+000  3.030899e+000  3.248399e+000  2.997650e+000  3.224595e+000  3.232407e+000  3.240220e+000  3.436887e+000  
3, 3.000000e+002  2.733083e+000  3.008173e+000  3.028380e+000  3.048430e+000  3.316923e+000  2.717092e+000  3.008910e+000  3.029985e+000  3.050903e+000  3.335846e+000  2.717000e+000  3.009012e+000  3.030086e+000  3.051004e+000  3.336140e+000  2.725151e+000  3.017741e+000  3.038815e+000  3.059733e+000  3.343905e+000  3.002748e+000  3.313718e+000  3.334793e+000  3.353974e+000  3.586588e+000  
4, 4.000000e+002  2.683025e+000  3.001810e+000  3.036838e+000  3.071335e+000  3.378445e+000  2.656135e+000  3.001971e+000  3.039933e+000  3.077338e+000  3.410539e+000  2.655855e+000  3.002318e+000  3.040316e+000  3.077757e+000  3.411509e+000  2.670278e+000  3.018750e+000  3.056785e+000  3.094117e+000  3.424682e+000  3.010088e+000  3.391061e+000  3.428964e+000  3.460586e+000  3.705508e+000  
5, 5.000000e+002  2.644434e+000  2.993979e+000  3.044844e+000  3.094577e+000  3.426812e+000  2.606472e+000  2.992734e+000  3.049823e+000  3.105670e+000  3.472532e+000  2.605935e+000  2.993485e+000  3.050728e+000  3.106719e+000  3.474550e+000  2.627311e+000  3.019233e+000  3.076622e+000  3.132170e+000  3.493371e+000  3.018749e+000  3.458662e+000  3.515513e+000  3.559261e+000  3.801127e+000  
6, 6.000000e+002  2.614425e+000  2.985611e+000  3.052420e+000  3.117288e+000  3.465254e+000  2.565844e+000  2.982216e+000  3.059632e+000  3.134830e+000  3.524323e+000  2.565024e+000  2.983535e+000  3.061344e+000  3.136887e+000  3.527709e+000  2.593672e+000  3.019816e+000  3.097979e+000  3.172430e+000  3.552151e+000  3.028096e+000  3.518144e+000  3.594974e+000  3.649821e+000  3.878925e+000  
7, 7.000000e+002  2.590893e+000  2.977293e+000  3.059587e+000  3.138953e+000  3.496143e+000  2.532464e+000  2.971162e+000  3.069341e+000  3.164043e+000  3.567892e+000  2.531371e+000  2.973213e+000  3.072172e+000  3.167522e+000  3.572904e+000  2.567369e+000  3.020902e+000  3.120535e+000  3.213783e+000  3.602797e+000  3.037695e+000  3.570801e+000  3.667852e+000  3.732461e+000  3.942945e+000  
8, 8.000000e+002  2.572286e+000  2.969377e+000  3.066365e+000  3.159294e+000  3.521230e+000  2.504917e+000  2.960107e+000  3.078931e+000  3.192764e+000  3.604811e+000  2.503595e+000  2.963050e+000  3.083211e+000  3.198087e+000  3.611646e+000  2.546858e+000  3.022733e+000  3.143995e+000  3.255391e+000  3.646752e+000  3.047255e+000  3.617673e+000  3.734629e+000  3.807589e+000  3.996199e+000  
9, 9.000000e+002  2.557459e+000  2.962065e+000  3.072773e+000  3.178187e+000  3.541820e+000  2.482086e+000  2.949424e+000  3.088389e+000  3.220621e+000  3.636325e+000  2.480600e+000  2.953421e+000  3.094451e+000  3.228199e+000  3.645128e+000  2.530941e+000  3.025438e+000  3.168097e+000  3.296636e+000  3.685180e+000  3.056585e+000  3.659601e+000  3.795771e+000  3.875723e+000  4.040946e+000  
10, 1.000000e+003  2.545557e+000  2.955452e+000  3.078833e+000  3.195605e+000  3.558889e+000  2.463087e+000  2.939363e+000  3.097703e+000  3.247370e+000  3.663422e+000  2.461516e+000  2.944573e+000  3.105873e+000  3.257588e+000  3.674297e+000  2.518682e+000  3.029064e+000  3.192604e+000  3.337071e+000  3.719018e+000  3.065567e+000  3.697274e+000  3.851724e+000  3.937427e+000  4.078899e+000  
